climate,obstacle,orientation,heat_SP,cool_SP,load,cv,qcd
1,2,45,21,24,heat_load [kWh/m2],0,0
1,2,45,21,24,cool_load [kWh/m2],0.0642881,0.0570259
1,2,45,21,24,light_load [kWh/m2],0.0437029,0.0177921
1,2,45,21,24,primary [kWh/m2],0.0419247,0.0361157
1,2,45,21,26,heat_load [kWh/m2],0,0
1,2,45,21,26,cool_load [kWh/m2],0.0838927,0.0744281
1,2,45,21,26,light_load [kWh/m2],0.0437029,0.0177921
1,2,45,21,26,primary [kWh/m2],0.0510182,0.0438954
1,3,-45,19,24,heat_load [kWh/m2],0,0
1,3,-45,19,24,cool_load [kWh/m2],0.0831462,0.0740725
1,3,-45,19,24,light_load [kWh/m2],0.0197637,0.00777528
1,3,-45,19,24,primary [kWh/m2],0.0653167,0.0590866
1,3,-45,19,26,heat_load [kWh/m2],0,0
1,3,-45,19,26,cool_load [kWh/m2],0.101443,0.0903751
1,3,-45,19,26,light_load [kWh/m2],0.0197637,0.00777528
1,3,-45,19,26,primary [kWh/m2],0.0768177,0.0694325
1,3,-45,21,24,heat_load [kWh/m2],0,0
1,3,-45,21,24,cool_load [kWh/m2],0.0831462,0.0740725
1,3,-45,21,24,light_load [kWh/m2],0.0197637,0.00777528
1,3,-45,21,24,primary [kWh/m2],0.0653167,0.0590866
1,3,-45,21,26,heat_load [kWh/m2],0,0
1,3,-45,21,26,cool_load [kWh/m2],0.101443,0.0903751
1,3,-45,21,26,light_load [kWh/m2],0.0197637,0.00777528
1,3,-45,21,26,primary [kWh/m2],0.0768177,0.0694325
1,3,0,19,24,heat_load [kWh/m2],0,0
1,3,0,19,24,cool_load [kWh/m2],0.0873364,0.078889
1,3,0,19,24,light_load [kWh/m2],0.0261265,0.00921958
1,3,0,19,24,primary [kWh/m2],0.0649309,0.0593909
1,3,0,19,26,heat_load [kWh/m2],0,0
1,3,0,19,26,cool_load [kWh/m2],0.111469,0.101054
1,3,0,19,26,light_load [kWh/m2],0.0261265,0.00921958
1,3,0,19,26,primary [kWh/m2],0.078433,0.0719035
1,3,0,21,24,heat_load [kWh/m2],0,0
1,3,0,21,24,cool_load [kWh/m2],0.0873364,0.078889
1,3,0,21,24,light_load [kWh/m2],0.0261265,0.00921958
1,3,0,21,24,primary [kWh/m2],0.0649309,0.0593909
1,3,0,21,26,heat_load [kWh/m2],0,0
1,3,0,21,26,cool_load [kWh/m2],0.111469,0.101054
1,3,0,21,26,light_load [kWh/m2],0.0261265,0.00921958
1,3,0,21,26,primary [kWh/m2],0.078433,0.0719035
1,3,45,19,24,heat_load [kWh/m2],0,0
1,3,45,19,24,cool_load [kWh/m2],0.0763357,0.0688069
1,3,45,19,24,light_load [kWh/m2],0.0253164,0.00788056
