climate,obstacle,orientation,heat_SP,cool_SP,load,cvrmse,model
1,0,45,19,24,cool_load [kWh/m2],0.017722,xgb12
1,0,45,19,24,light_load [kWh/m2],0.0157794,xgb12
1,0,45,19,24,primary [kWh/m2],0.0133366,xgb12
1,0,45,19,26,heat_load [kWh/m2],3.78084e-05,xgb12
1,0,45,19,26,cool_load [kWh/m2],0.0225228,xgb12
1,0,45,19,26,light_load [kWh/m2],0.0173286,xgb12
1,0,45,19,26,primary [kWh/m2],0.0161813,xgb12
1,0,45,21,24,heat_load [kWh/m2],3.78084e-05,xgb12
1,0,45,21,24,cool_load [kWh/m2],0.0176271,xgb12
1,0,45,21,24,light_load [kWh/m2],0.0149087,xgb12
1,0,45,21,24,primary [kWh/m2],0.0133963,xgb12
1,0,45,21,26,heat_load [kWh/m2],3.78084e-05,xgb12
1,0,45,21,26,cool_load [kWh/m2],0.0236515,xgb12
1,0,45,21,26,light_load [kWh/m2],0.0154523,xgb12
1,0,45,21,26,primary [kWh/m2],0.0176728,xgb12
1,0,-45,19,24,heat_load [kWh/m2],3.78084e-05,xgb12
1,0,-45,19,24,cool_load [kWh/m2],0.0227838,xgb12
1,0,-45,19,24,light_load [kWh/m2],0.0108751,xgb12
1,0,-45,19,24,primary [kWh/m2],0.0174525,xgb12
1,0,-45,19,26,heat_load [kWh/m2],3.78084e-05,xgb12
1,0,-45,19,26,cool_load [kWh/m2],0.0298718,xgb12
1,0,-45,19,26,light_load [kWh/m2],0.0132081,xgb12
1,0,-45,19,26,primary [kWh/m2],0.020579,xgb12
1,0,-45,21,24,heat_load [kWh/m2],3.78084e-05,xgb12
1,0,-45,21,24,cool_load [kWh/m2],0.0241504,xgb12
1,0,-45,21,24,light_load [kWh/m2],0.0126455,xgb12
1,0,-45,21,24,primary [kWh/m2],0.0196154,xgb12
1,0,-45,21,26,heat_load [kWh/m2],3.78084e-05,xgb12
1,0,-45,21,26,cool_load [kWh/m2],0.0247665,xgb12
1,0,-45,21,26,light_load [kWh/m2],0.0105258,xgb12
1,0,-45,21,26,primary [kWh/m2],0.0204244,xgb12
1,1,0,19,24,heat_load [kWh/m2],3.78084e-05,xgb12
1,1,0,19,24,cool_load [kWh/m2],0.0243053,xgb12
1,1,0,19,24,light_load [kWh/m2],0.0163957,xgb12
1,1,0,19,24,primary [kWh/m2],0.0150477,xgb12
1,1,0,19,26,heat_load [kWh/m2],3.78084e-05,xgb12
1,1,0,19,26,cool_load [kWh/m2],0.0265443,xgb12
1,1,0,19,26,light_load [kWh/m2],0.0188522,xgb12
1,1,0,19,26,primary [kWh/m2],0.0222195,xgb12
